station_name,address,slow_count,fast_count,n_ids,station_ids,최종판단,maker_match,makers,capacity_match,kw_detail,confidence,prefixes,operator_year_match,operator_detail,years
구암동657 공영주차장,대전광역시 유성구 구암동 657공영주차장,2,0,2,IVDJNDM2;NEDJNDM2,가능성 높음,동일,에바;에바,동일,"IVDJNDM2:[7.0, 7.0] | NEDJNDM2:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNDM;NEDJNDM,다름,"IVDJNDM2:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNDM2:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
구암동677 공영주차장,대전광역시 유성구 구암동 677공영주차장,2,0,2,IVDJNKO6;NEDJNKO6,가능성 높음,동일,에바;에바,동일,"IVDJNKO6:[7.0, 7.0] | NEDJNKO6:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNKO;NEDJNKO,다름,"IVDJNKO6:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNKO6:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
국민건강보험공단 기장지사,부산광역시 기장군 기장읍 차성로 414,1,0,2,AZ100015;EZ100754,가능성 높음,동일,휴맥스이브이;휴맥스이브이,동일,AZ100015:[7.0] | EZ100754:[7.0],다른 사업자(강한 의심),AZ;EZ,다름,"AZ100015:bnm=['이에스앤에이치'],busiNm=['이에스앤에이치'],year=['2024'],maker=['휴맥스이브이'] | EZ100754:bnm=['차지인'],busiNm=['(주)차지인'],year=['2025'],maker=['휴맥스이브이']",2024;2025
금강로하스 산호빛공원 공영주차장,대전광역시 대덕구 대덕대로1527번길 200금강로하스 산호빛공원 공영주차장,2,0,2,IVDJNLOA;NEDJNLOA,가능성 높음,동일,에바;에바,동일,"IVDJNLOA:[7.0, 7.0] | NEDJNLOA:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNLOA;NEDJNLOA,다름,"IVDJNLOA:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNLOA:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
길치문화공원 공영주차장,대전광역시 대덕구 신상로 65길치문화공원 공영주차장,4,1,2,IVDJNGIL;NEDJNGIL,가능성 높음,동일,에바;에바,동일,"IVDJNGIL:[7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNGIL:[7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNGIL;NEDJNGIL,다름,"IVDJNGIL:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNGIL:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
논현초교 공영주차장,서울특별시 강남구 강남대로120길 33,0,2,2,CV001306;SE000211,가능성 높음,동일,채비;채비,다름,"CV001306:[100.0, 100.0] | SE000211:[200.0, 200.0]",다른 사업자(강한 의심),CV;SE,다름,"CV001306:bnm=['채비'],busiNm=['채비'],year=['2022'],maker=['채비'] | SE000211:bnm=['서울시'],busiNm=['서울에너지공사'],year=['2026'],maker=['채비']",2022;2026
대덕구 산중골 공영주차장(읍내동),대전광역시 대덕구 계족로740번길 114공영주차장,2,1,2,IVDJNMOU;NEDJNMOU,가능성 높음,동일,에바;에바,동일,"IVDJNMOU:[7.0, 7.0, 100.0] | NEDJNMOU:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNMOU;NEDJNMOU,다름,"IVDJNMOU:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNMOU:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대덕산업단지 공영주차장(문평동),대전광역시 대덕구 문평동로 16공영주차장,2,1,2,IVDJNMON;NEDJNMON,가능성 높음,동일,에바;에바,동일,"IVDJNMON:[7.0, 7.0, 100.0] | NEDJNMON:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNMON;NEDJNMON,다름,"IVDJNMON:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNMON:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전 엑스포 한빛탑 주차장,대전광역시 유성구 대덕대로 480엑스포 한빛탑 주차장,8,2,2,IVDJEXPO;NEDJEXPO,가능성 높음,동일,에바;에바,동일,"IVDJEXPO:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0, 100.0] | NEDJEXPO:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0, 100.0]",다른 사업자(강한 의심),IVDJEXPO;NEDJEXPO,다름,"IVDJEXPO:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJEXPO:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 관평동 제1공영주차장,대전광역시 유성구 관평동 1175제1공영주차장,2,1,2,IVGWANP1;NEGWANP1,가능성 높음,동일,에바;에바,동일,"IVGWANP1:[7.0, 7.0, 100.0] | NEGWANP1:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVGWANP;NEGWANP,다름,"IVGWANP1:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEGWANP1:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 관평동 제2공영주차장,대전광역시 유성구 관평동 734제2공영주차장,2,0,2,IVGWANP2;NEGWANP2,가능성 높음,동일,에바;에바,동일,"IVGWANP2:[7.0, 7.0] | NEGWANP2:[7.0, 7.0]",다른 사업자(강한 의심),IVGWANP;NEGWANP,다름,"IVGWANP2:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEGWANP2:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 관평동 제3공영주차장,대전광역시 유성구 관평동 788관평동 제3공영주차장,2,0,2,IVDJNGP3;NEDJNGP3,가능성 높음,동일,에바;에바,동일,"IVDJNGP3:[7.0, 7.0] | NEDJNGP3:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNGP;NEDJNGP,다름,"IVDJNGP3:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNGP3:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 관평동 제4공영주차장,대전광역시 유성구 관평동 932제4공영주차장,2,0,2,IVGWANP4;NEGWANP4,가능성 높음,동일,에바;에바,동일,"IVGWANP4:[7.0, 7.0] | NEGWANP4:[7.0, 7.0]",다른 사업자(강한 의심),IVGWANP;NEGWANP,다름,"IVGWANP4:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEGWANP4:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 관평동 제5공영주차장,대전광역시 유성구 관평동 1052제5공영주차장,2,1,2,IVGWANP5;NEGWANP5,가능성 높음,동일,에바;에바,동일,"IVGWANP5:[7.0, 7.0, 100.0] | NEGWANP5:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVGWANP;NEGWANP,다름,"IVGWANP5:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEGWANP5:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 덕명동 513 공영주차장,대전광역시 유성구 덕명동 513공영주차장,2,0,2,IVDJNDM1;NEDJNDM1,가능성 높음,동일,에바;에바,동일,"IVDJNDM1:[7.0, 7.0] | NEDJNDM1:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNDM;NEDJNDM,다름,"IVDJNDM1:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNDM1:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 덕명동 544 공영주차장,대전광역시 유성구 덕명동 544공영주차장,2,0,2,IVDJNDM4;NEDJNDM4,가능성 높음,동일,에바;에바,동일,"IVDJNDM4:[7.0, 7.0] | NEDJNDM4:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNDM;NEDJNDM,다름,"IVDJNDM4:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNDM4:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 덕명동530 공영주차장,대전광역시 유성구 덕명동 530공영주차장,2,0,2,IVDJNDM6;NEDJNDM6,가능성 높음,동일,에바;에바,동일,"IVDJNDM6:[7.0, 7.0] | NEDJNDM6:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNDM;NEDJNDM,다름,"IVDJNDM6:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNDM6:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 덕명동545 공영주차장,대전광역시 유성구 덕명동545공영주차장,2,0,2,IVDJNDU1;NEDJNDU1,가능성 높음,동일,에바;에바,동일,"IVDJNDU1:[7.0, 7.0] | NEDJNDU1:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNDU;NEDJNDU,다름,"IVDJNDU1:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNDU1:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 덕명동588 공영주차장,대전광역시 유성구 덕명동588 공영주차장,2,1,2,IVDJNDU2;NEDJNDU2,가능성 높음,동일,에바;에바,동일,"IVDJNDU2:[7.0, 7.0, 100.0] | NEDJNDU2:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNDU;NEDJNDU,다름,"IVDJNDU2:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNDU2:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 봉산동299 공영주차장,대전광역시 유성구 봉산동299 공영주차장,2,0,2,IVDJNBON;NEDJNBON,가능성 높음,동일,에바;에바,동일,"IVDJNBON:[7.0, 7.0] | NEDJNBON:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNBON;NEDJNBON,다름,"IVDJNBON:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNBON:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 송강동(GS) 공영주차장,대전광역시 유성구 구즉로58번길 15-12송강동(GS) 공영주차장,2,0,2,IVDJNSO1;NEDJNSO1,가능성 높음,동일,에바;에바,동일,"IVDJNSO1:[7.0, 7.0] | NEDJNSO1:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNSO;NEDJNSO,다름,"IVDJNSO1:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNSO1:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 송강동(프라자) 공영주차장,대전광역시 유성구 봉산로 27공영주차장,3,0,2,IVDJNSO2;NEDJNSO2,가능성 높음,동일,에바;에바,동일,"IVDJNSO2:[7.0, 7.0, 7.0] | NEDJNSO2:[7.0, 7.0, 7.0]",다른 사업자(강한 의심),IVDJNSO;NEDJNSO,다름,"IVDJNSO2:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNSO2:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 수통골 공영주차장,대전광역시 유성구 수통골로 37공영주차장,6,1,2,IVDJNSOO;NEDJNSOO,가능성 높음,동일,에바;에바,동일,"IVDJNSOO:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNSOO:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNSOO;NEDJNSOO,다름,"IVDJNSOO:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022', '2023'],maker=['에바'] | NEDJNSOO:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022', '2023'],maker=['에바']","2022,2023;2022,2023"
대전광역시 유성구 신성동 제1공영주차장,대전광역시 유성구 신성동 137-2제1공영주차장,2,0,2,IVDJNSI1;NEDJNSI1,가능성 높음,동일,에바;에바,동일,"IVDJNSI1:[7.0, 7.0] | NEDJNSI1:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNSI;NEDJNSI,다름,"IVDJNSI1:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNSI1:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전광역시 유성구 신성동 제2공영주차장,대전광역시 유성구 신성동211-2제2공영주차장,3,0,2,IVDJNSIN;NEDJNSIN,가능성 높음,동일,에바;에바,동일,"IVDJNSIN:[7.0, 7.0, 7.0] | NEDJNSIN:[7.0, 7.0, 7.0]",다른 사업자(강한 의심),IVDJNSIN;NEDJNSIN,다름,"IVDJNSIN:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNSIN:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 원내동 공영주차장,대전광역시 유성구 진잠로66번길 45공영주차장,4,1,2,IVDJNWON;NEDJNWON,가능성 높음,동일,에바;에바,동일,"IVDJNWON:[7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNWON:[7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNWON;NEDJNWON,다름,"IVDJNWON:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNWON:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 유성IC 만남의광장,대전광역시 유성구 월드컵대로 31공영주차장,9,1,2,IVDJNYIC;NEDJNYIC,가능성 높음,동일,에바;에바,동일,"IVDJNYIC:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNYIC:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNYIC;NEDJNYIC,다름,"IVDJNYIC:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022', '2023'],maker=['에바'] | NEDJNYIC:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022', '2023'],maker=['에바']","2022,2023;2022,2023"
대전광역시 유성구 장대동 공영주차장,대전광역시 유성구 유성대로729번길 40장대동공영주차장,5,0,2,IVDJNJAN;NEDJNJAN,가능성 높음,동일,에바;에바,동일,"IVDJNJAN:[7.0, 7.0, 7.0, 7.0, 7.0] | NEDJNJAN:[7.0, 7.0, 7.0, 7.0, 7.0]",다른 사업자(강한 의심),IVDJNJAN;NEDJNJAN,다름,"IVDJNJAN:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNJAN:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 전민동 행정복지센터,대전광역시 유성구 유성대로1689번길 6전민동행정복지센터 주차장,2,0,2,IVDJNJEA;NEDJNJEA,가능성 높음,동일,에바;에바,동일,"IVDJNJEA:[7.0, 7.0] | NEDJNJEA:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNJEA;NEDJNJEA,다름,"IVDJNJEA:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNJEA:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 유성구 죽동 공영주차장,대전광역시 유성구 북유성대로 172죽동 공영주차장 2~3층,6,1,2,IVDJNJUK;NEDJNJUK,가능성 높음,동일,에바;에바,동일,"IVDJNJUK:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNJUK:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNJUK;NEDJNJUK,다름,"IVDJNJUK:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNJUK:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전광역시 중앙시장 제3공영주차장,대전광역시 동구 대전로797번길 27제3공영주차장빌딩 2~4층,8,1,2,IVDJNCEN;NEDJNCEN,가능성 높음,동일,에바;에바,동일,"IVDJNCEN:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0] | NEDJNCEN:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNCEN;NEDJNCEN,다름,"IVDJNCEN:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNCEN:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전동부 모범운전자쉼터(택시),대전광역시 동구 동산초교로23번길 41-18운전자쉼터 주차장,2,0,2,IVDJNEAS;NEDJNEAS,가능성 높음,동일,에바;에바,동일,"IVDJNEAS:[7.0, 7.0] | NEDJNEAS:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNEAS;NEDJNEAS,다름,"IVDJNEAS:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNEAS:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전보건대학교,대전광역시 동구 충정로 21탐구관 지하주차장 1층,4,0,2,IVDJNBOG;NEDJNBOG,가능성 높음,동일,에바;에바,동일,"IVDJNBOG:[7.0, 7.0, 7.0, 7.0] | NEDJNBOG:[7.0, 7.0, 7.0, 7.0]",다른 사업자(강한 의심),IVDJNBOG;NEDJNBOG,다름,"IVDJNBOG:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNBOG:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
대전열병합발전 사옥,대전광역시 대덕구 신일동 1675-5대전열병합발전 사옥,1,0,2,IVDJNHEA;NEDJNHEA,가능성 높음,동일,에바;에바,동일,IVDJNHEA:[7.0] | NEDJNHEA:[7.0],다른 사업자(강한 의심),IVDJNHEA;NEDJNHEA,다름,"IVDJNHEA:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNHEA:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
대전추모공원,대전광역시 서구 상보안윗길 160,0,2,2,ME19B208;CV000904,가능성 높음,동일,채비;채비,다름,"ME19B208:[200.0, 200.0] | CV000904:[50.0, 50.0]",다른 사업자(강한 의심),CV;ME,다름,"ME19B208:bnm=['기후에너지환경부'],busiNm=['기후에너지환경부'],year=['2020'],maker=['채비'] | CV000904:bnm=['채비'],busiNm=['채비'],year=['2021'],maker=['채비']",2020;2021
도룡동(상) 공영주차장,대전광역시 유성구 도룡동 385-1도룡동(상)공영주차장,2,1,2,IVDJDRUP;NEDJDRUP,가능성 높음,동일,에바;에바,동일,"IVDJDRUP:[7.0, 7.0, 100.0] | NEDJDRUP:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJDRUP;NEDJDRUP,다름,"IVDJDRUP:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2024'],maker=['에바'] | NEDJDRUP:bnm=['에너넷'],busiNm=['인큐버스'],year=['2024'],maker=['에바']",2024;2024
도룡동(하) 공영주차장,대전광역시 유성구 도룡동 395-10도룡동(하)공영주차장,2,1,2,IVDJDRDW;NEDJDRDW,가능성 높음,동일,에바;에바,동일,"IVDJDRDW:[7.0, 7.0, 100.0] | NEDJDRDW:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJDRDW;NEDJDRDW,다름,"IVDJDRDW:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2024'],maker=['에바'] | NEDJDRDW:bnm=['에너넷'],busiNm=['인큐버스'],year=['2024'],maker=['에바']",2024;2024
동춘당생애길 제2공영주차장,대전광역시 대덕구 계족산로 20동춘당생애길 제2공영주차장,2,1,2,IVDJNDON;NEDJNDON,가능성 높음,동일,에바;에바,동일,"IVDJNDON:[7.0, 7.0, 100.0] | NEDJNDON:[7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJNDON;NEDJNDON,다름,"IVDJNDON:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNDON:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
