station_name,address,slow_count,fast_count,station_ids,n_ids,confidence,prefixes
부산남부경찰서,부산광역시 남구 황령대로319번가길 81,0,2,ME22C256;BNOH3901;ST601309,3,다른 사업자(강한 의심),BNOH;ME;ST
서울숲삼부아파트,서울특별시 성동구 왕십리로 280,12,0,PI001496;SF002098,2,다른 사업자(강한 의심),PI;SF
래미안장위포레카운티,서울특별시 성북구 장월로 160,10,0,PI762720;PL001023,2,다른 사업자(강한 의심),PI;PL
유원강변아파트,서울특별시 동작구 노량진로23가길 20,7,0,PI763499;PL003359,2,다른 사업자(강한 의심),PI;PL
송파건원여미지아파트,서울특별시 송파구 마천로35길 12,2,0,PIH00202;PL030900,2,다른 사업자(강한 의심),PIH;PL
금강케이씨씨아파트,서울특별시 광진구 아차산로36길 13,2,0,PIH00239;PL010934,2,다른 사업자(강한 의심),PIH;PL
만리산주거지전용주차장,부산광역시 부산진구 엄광로 491,0,1,ME22C1B6;ST600790,2,다른 사업자(강한 의심),ME;ST
국민건강보험공단 기장지사,부산광역시 기장군 기장읍 차성로 414,1,0,AZ100015;EZ100754,2,다른 사업자(강한 의심),AZ;EZ
부산 좌천 재래시장 노외공영주차장,부산광역시 기장군 장안읍 장곡길 178,1,0,BNBN0460;BNOB0504,2,다른 사업자(강한 의심),BNBN;BNOB
조은클래스(오피스텔),부산광역시 기장군 정관읍 정관로 590,10,0,CCL00001;TDL00005,2,다른 사업자(강한 의심),CCL;TDL
메가마트 기장점,부산광역시 기장군 일광읍 기장대로 673,0,6,KE001003;SZMA0001,2,다른 사업자(강한 의심),KE;SZMA
메가마트 동래점,부산광역시 동래구 충렬대로 197,0,14,KE001010;SZMA0004,2,다른 사업자(강한 의심),KE;SZMA
청학동한일유앤아이아파트,부산광역시 영도구 일산봉로 58,3,0,PI772664;PW013919,2,다른 사업자(강한 의심),PI;PW
동래봉생병원 장례식장,부산광역시 동래구 충렬대로348번길 23,1,0,SO000096;SOA43001,2,다른 사업자(강한 의심),SO;SOA
서재문화체육센터,대구광역시 달성군 다사읍 다사로 750,0,2,ME18C265;CV002150,2,다른 사업자(강한 의심),CV;ME
대청초등학교,대구광역시 수성구 교학로12길 42,1,0,AZ100013;EZ002299,2,다른 사업자(강한 의심),AZ;EZ
대구세강병원,대구광역시 달서구 구마로 220,8,0,AZ100017;YC100007,2,다른 사업자(강한 의심),AZ;YC
올인워크,대구광역시 동구 동부로30길 102-3,4,0,AZ100020;YC100015,2,다른 사업자(강한 의심),AZ;YC
모빌리티기술혁신센터,대구광역시 달성군 유가읍 테크노순환로 356,2,0,AZ100022;YC100008,2,다른 사업자(강한 의심),AZ;YC
송해공원골프클럽,대구광역시 달성군 옥포읍 옥포로 607,3,0,CCP00001;TDP00011,2,다른 사업자(강한 의심),CCP;TDP
대구역센트럴자이,대구광역시 중구 서성로 99,10,0,ER000384;HM000355,2,다른 사업자(강한 의심),ER;HM
수성하이츠,대구광역시 수성구 수성로 393,2,0,HE192131;LU000561,2,다른 사업자(강한 의심),HE;LU
수성영남타운,대구광역시 수성구 달구벌대로456길 43,5,0,HM000853;LU101015,2,다른 사업자(강한 의심),HM;LU
대실역태왕아너스,대구광역시 달성군 다사읍 대실역남로 11,9,0,HM001076;PI710697,2,다른 사업자(강한 의심),HM;PI
성서2차서한타운,대구광역시 달서구 선원로 122,10,0,HM001814;PL007817,2,다른 사업자(강한 의심),HM;PL
삼우그린타운,대구광역시 북구 매천로8길 35,12,0,PI306085;SF002645,2,다른 사업자(강한 의심),PI;SF
강변효성백년가약,대구광역시 남구 봉덕로 135,15,0,PW100498;TS272002,2,다른 사업자(강한 의심),PW;TS
월배역라온프라이빗,대구광역시 달서구 월배로33길 53,3,0,PW100986;PWE03650,2,다른 사업자(강한 의심),PW;PWE
인천백병원,인천광역시 제물포구 샛골로 214,2,0,AM900059;EC004634,2,다른 사업자(강한 의심),AM;EC
돌산마루1호 공영주차장,인천광역시 남동구 용천로176번길 70,0,2,BNKE0502;ST282010,2,다른 사업자(강한 의심),BNKE;ST
연희동남아파트,인천광역시 서해구 심곡로132번길 17,5,0,CU320006;HU320005,2,다른 사업자(강한 의심),CU;HU
일신주공아파트,인천광역시 부평구 항동로75번길 11,3,0,CV001381;PI708653,2,다른 사업자(강한 의심),CV;PI
조동초등학교_인천,인천광역시 남동구 백범로124번길 164,1,0,HU320013;L3280173,2,다른 사업자(강한 의심),HU;L
송도테크노파크IT센터,인천광역시 연수구 송도과학로 32,4,0,LU101614;PI751037,2,다른 사업자(강한 의심),LU;PI
검단2차풍림아이원아파트,인천광역시 검단구 완정로64번길 23,2,0,PI001716;PIH00814,2,다른 사업자(강한 의심),PI;PIH
월드메르디앙아파트,인천광역시 서해구 신석로 71,6,0,PI001728;PIH00285,2,다른 사업자(강한 의심),PI;PIH
인천 서구 청라웰카운티1차아파트,인천광역시 서해구 청라에메랄드로 156,22,1,PIS00391;PL032319,2,다른 사업자(강한 의심),PIS;PL
이안테라디움제물포 ,인천광역시 미추홀구 경인로 26,2,0,SO000067;SOA70001,2,다른 사업자(강한 의심),SO;SOA
대전추모공원,대전광역시 서구 상보안윗길 160,0,2,ME19B208;CV000904,2,다른 사업자(강한 의심),CV;ME
대전서부경찰서,대전광역시 서구 복수서로 47,0,2,ME22C254;KP005842,2,다른 사업자(강한 의심),KP;ME
디티비안더블유오피스텔,대전광역시 유성구 테크노3로 66,3,0,CV000475;JE090007,2,다른 사업자(강한 의심),CV;JE
한국수자원공사,대전광역시 대덕구 신탄진로 200,0,2,CV000890;KP005075,2,다른 사업자(강한 의심),CV;KP
대전제일교회,대전광역시 동구 대전로813번길 34,1,0,HU420006;L3000121,2,다른 사업자(강한 의심),HU;L
중구 안영동 제3공영,대전광역시 중구 성산로9번길 3중구 안영동 제3공영,2,0,IVDJAY3P;NEDJAY3P,2,다른 사업자(강한 의심),IVDJAY;NEDJAY
베니키아 테크노밸리 호텔,대전광역시 유성구 테크노중앙로 57지하2층,2,0,IVDJBKHT;NEDJBKHT,2,다른 사업자(강한 의심),IVDJBKHT;NEDJBKHT
비래동 143-7 공영주차장,대전광역시 대덕구 비래동 143-7,2,0,IVDJBRP1;NEDJBRP1,2,다른 사업자(강한 의심),IVDJBRP;NEDJBRP
비래동 128-10 공영주차장,대전광역시 대덕구 비래동로23번길 28공영주차장,2,0,IVDJBRP2;NEDJBRP2,2,다른 사업자(강한 의심),IVDJBRP;NEDJBRP
